ATRM,20100827,2.34,2.66,2.34,2.66,40100
ATRN,20100827,0.38,0.38,0.35,0.38,26600
ATRO,20100827,14.25,14.92,14.21,14.83,25500
ATSG,20100827,4.63,4.65,4.49,4.64,305900
ATVI,20100827,10.81,10.87,10.64,10.75,13277900
ATX,20100827,5.49,5.95,5.39,5.92,9400
AUDC,20100827,2.54,2.64,2.49,2.64,47500
AUTC,20100827,22.49,23.2,22.1,23.2,9100
AUTH,20100827,1.78,1.8,1.71,1.71,98600
AUXL,20100827,25.74,26.1,25.47,26.07,420500
AVAV,20100827,23.15,23.24,22.79,23.11,161000
AVCA,20100827,5.09,5.55,5.09,5.34,13800
AVEO,20100827,7.82,8.21,7.82,8.21,27800
AVGO,20100827,20.62,20.65,20.01,20.31,1051700
AVID,20100827,11.25,11.64,11.1,11.59,97800
AVII,20100827,2.09,2.14,2.02,2.11,2246300
AVNR,20100827,2.99,3.06,2.89,3.04,1228800
AVNW,20100827,4.07,4.24,3.94,4.21,583200
AVTR,20100827,17.75,18,17.42,17.97,22900
AWRE,20100827,2.22,2.4,2.2,2.4,37400
AXAS,20100827,2.43,2.52,2.32,2.5,413800
AXTI,20100827,5.25,5.48,5.11,5.4,467300
AZPN,20100827,9.48,9.63,9.35,9.6,221600
BABY,20100827,11.86,12.33,11.68,12.32,278200
BAGL,20100827,10.05,10.18,9.97,10.17,36400
BAMM,20100827,5.72,5.81,5.57,5.81,25500
BANF,20100827,35.72,36.55,35.61,36.49,30400
BANFP,20100827,26.4,26.4,26.4,26.4,600
BANR,20100827,2.03,2.08,1.97,2.05,560800
BARI,20100827,27.67,28.5,27.57,28.5,12500
BASI,20100827,0.9,0.9,0.84,0.84,500
BBBB,20100827,33.86,33.91,32.94,33.8,293100
BBBY,20100827,36.92,37.1,35.88,37,3835400
BBEP,20100827,16.51,16.7,16.32,16.62,113900
BBGI,20100827,3.47,3.71,3.4,3.6,8200
BBND,20100827,2.7,2.71,2.61,2.7,163500
BBNK,20100827,8.92,8.99,8.92,8.99,3300
BBOX,20100827,29.32,29.81,28.63,29.71,54200
BBSI,20100827,13.22,13.59,13.06,13.55,14100
BBXT,20100827,10.5,10.5,10.05,10.21,3200
BCBP,20100827,8.92,8.92,8.92,8.92,100
BCOM,20100827,21.21,22,21.21,21.47,10700
BCON,20100827,0.26,0.29,0.26,0.27,944600
BCPC,20100827,24.25,24.68,23.87,24.66,81400
BCRX,20100827,4.62,4.85,4.55,4.82,320700
BCSB,20100827,9.75,9.75,9.75,9.75,400
BCSI,20100827,18.87,19.59,18.54,19.58,1535600
BDCO,20100827,1.15,1.18,1.08,1.12,11200
BDE,20100827,5.94,6.4,5.9,6.3,39600
BDGE,20100827,22.29,22.97,21.79,22.8,13000
BDSI,20100827,2.23,2.27,2.2,2.22,22200
BEAT,20100827,4.6,4.6,4.46,4.52,104700
BEAV,20100827,27.12,27.65,26.45,27.58,448300
BEBE,20100827,5.67,6.05,5.67,5.98,1358100
BECN,20100827,13.91,14,13.6,13.99,562900
BELFA,20100827,18.07,19.23,18.07,19.2,7800
BELFB,20100827,17.91,18.72,17.29,18.67,24700
BERK,20100827,4.8,4.84,4.75,4.84,1100
BEST,20100827,0.88,0.93,0.88,0.92,18000
BEXP,20100827,15.94,16.19,15.22,16.11,4763400
BFED,20100827,10,10.01,9.98,10,4400
BFIN,20100827,8.89,9,8.75,8.96,52800
BFLY,20100827,1.7,1.7,1.7,1.7,900
BGCP,20100827,5.34,5.46,5.1,5.46,405300
BGFV,20100827,11.86,11.96,11.58,11.94,65600
BHLB,20100827,17.69,18,17.35,17.92,28100
BIB,20100827,43.21,43.61,43.21,43.52,2700
BICK,20100827,28.23,28.42,28.18,28.42,10600
BIDU,20100827,76.87,79.68,76.08,79.37,7558100
BIDZ,20100827,1.6,1.6,1.5,1.51,13100
BIIB,20100827,54,54.92,53.14,54.6,1704300
BIOC,20100827,3.4,3.49,3.4,3.45,4900
BIOD,20100827,4.02,4.02,3.82,3.88,353700
BIOF,20100827,1.18,1.22,1.15,1.15,31200
BIOS,20100827,5,5.11,4.95,5.11,343100
BITS,20100827,6.19,6.25,6.13,6.25,2600
BJGP,20100827,6.43,6.58,6.27,6.57,131700
BJRI,20100827,24.62,25.07,24.18,25.05,171900
BKBK,20100827,10.45,10.96,10.15,10.96,1900
BKCC,20100827,10.74,10.83,10.63,10.83,603700
BKMU,20100827,5.18,5.27,5.03,5.25,132700
BKSC,20100827,10.9,10.9,10.5,10.57,700
BKYF,20100827,18.3,18.3,18.01,18.23,1100
BLDP,20100827,1.75,1.84,1.75,1.8,98700
BLDR,20100827,2.1,2.15,2,2.14,92000
BLIN,20100827,1.03,1.1,1.03,1.1,3100
BLKB,20100827,21.29,21.59,20.8,21.55,195800
BLTI,20100827,0.77,0.77,0.66,0.72,56000
BLUD,20100827,17.64,17.91,17.39,17.89,279300
BMC,20100827,36.92,37.49,36.46,37.46,2712600
BMRC,20100827,32.59,33.34,32.17,33.34,8000
BMRN,20100827,20.47,20.79,20.06,20.77,458200
BMTC,20100827,16.44,16.68,16.13,16.58,20100
BMTI,20100827,9.69,9.76,9.43,9.67,75100
BNCL,20100827,8.51,8.61,8.4,8.6,103700
BNCN,20100827,10,10.24,10,10.24,1300
BNHN,20100827,6.75,6.94,6.74,6.89,3000
BNHNA,20100827,6.32,6.45,6.21,6.44,3000
BNSO,20100827,0.95,0.99,0.95,0.96,4100
BNVI,20100827,0.38,0.4,0.38,0.39,51800
BOBE,20100827,25.68,25.98,25.19,25.93,135800
BOCH,20100827,4.04,4.1,3.98,4.09,4300
BOFI,20100827,11.46,11.8,11.17,11.8,32300
BOKF,20100827,44.83,45.37,44.22,45.34,41800
BOLT,20100827,9.08,9.1,8.51,9.05,34300
BONT,20100827,6.65,6.75,6.41,6.45,245200
BOOM,20100827,14.15,14.15,13.85,14.05,135900
BOOT,20100827,12.56,13.75,12.51,13.54,20100
BOSC,20100827,1.37,1.47,1.37,1.47,11600
BOVA,20100827,2.76,2.76,2.75,2.75,400
BPAX,20100827,1.41,1.45,1.39,1.43,185300
BPFH,20100827,6.51,6.73,6.42,6.71,966500
BPHX,20100827,1.5,1.55,1.49,1.55,14800
BPOP,20100827,2.61,2.61,2.55,2.58,5093100
BPOPN,20100827,18.94,19.23,18.71,19.23,5300
BRCD,20100827,4.88,4.91,4.75,4.85,14248700
BRCM,20100827,31.97,33.25,31.32,33.01,12299800
BRID,20100827,12.95,12.95,12.35,12.5,1800
BRKL,20100827,9.32,9.38,9.14,9.38,317000
BRKR,20100827,12.49,12.6,12.1,12.52,474100
BRKS,20100827,6.92,7.1,6.62,7.08,408500
BRLI,20100827,19.26,19.75,18.8,19.69,294000
BRNC,20100827,4.01,4.09,3.89,4.07,53700
BSDM,20100827,2.1,2.46,2.1,2.23,1656900
BSET,20100827,4.72,4.77,4.67,4.67,8300
BSFT,20100827,8,8.25,8,8.01,5700
BSMD,20100827,4.38,4.38,4.36,4.36,17300
BSPM,20100827,2.51,2.64,2.51,2.64,35900
BSQR,20100827,2.87,3.11,2.85,2.86,32600
BSRR,20100827,11.41,11.88,11.28,11.86,23400
BSTC,20100827,25.03,25.47,24.39,25.46,38300
BTFG,20100827,3.2,3.21,3.2,3.21,5700
BTUI,20100827,5.3,5.3,5.28,5.3,4500
BUCY,20100827,54.91,57.32,53.26,57.12,1786000
BUSE,20100827,4.32,4.37,4.23,4.36,90800
BVSN,20100827,10.18,10.3,10.04,10.05,6600
BWEN,20100827,1.63,1.65,1.56,1.61,860700
BWINB,20100827,21.62,22.45,21.37,22.04,17000
BWLD,20100827,42.36,43,41.43,42.87,259100
BWOW,20100827,4.24,4.24,4.24,4.24,400
CA,20100827,18.21,18.36,17.82,18.3,3817300
CAAS,20100827,14.3,14.78,14.01,14.77,313100
CABL,20100827,0.41,0.48,0.41,0.43,103000
CAC,20100827,30.67,30.67,29.9,30.64,19800
CACB,20100827,0.54,0.57,0.53,0.57,16400
CACC,20100827,59.64,60.05,58.5,59.67,26700
CACH,20100827,4.11,4.3,4.1,4.27,25500
CADC,20100827,3.41,3.43,3.3,3.4,19900
CADE,20100827,1.25,1.26,1.08,1.2,13600
CADX,20100827,8.3,8.3,7.98,8.21,105200
CAEI,20100827,0.89,0.9,0.85,0.85,129800
CAFI,20100827,1.76,1.88,1.76,1.88,1900
CAGC,20100827,16.47,16.74,15.9,16.72,806900
CAKE,20100827,22.8,23.09,22.13,23.03,911600
CALD,20100827,3.37,3.42,3.25,3.36,48500
CALI,20100827,2.98,2.98,2.91,2.94,3600
CALL,20100827,28.39,29.62,26.93,27.2,89400
CALM,20100827,31.39,31.56,30.85,31.5,86900
CALP,20100827,3.5,3.6,3.4,3.58,74600
CALPW,20100827,0.06,0.06,0.04,0.04,200
CAMP,20100827,2.52,2.63,2.52,2.58,185000
CAMT,20100827,2.33,2.33,2.25,2.3,7900
CAPS,20100827,0.92,0.92,0.88,0.92,14700
CART,20100827,5.22,5.25,5.22,5.25,1800
CASB,20100827,0.33,0.33,0.26,0.29,93200
CASH,20100827,34.72,34.74,33,33.45,5300
CASM,20100827,2.09,2.1,2,2.1,15600
CASS,20100827,33.64,33.88,33.41,33.88,12900
